condition,arch,fold,stem,n_pred,n_true,d_px,d_true,spacing_err_pct,off_dx,off_dy,off_mag,off_scatter,area_ratio
with_n2v,AtomSegNet,2,07311,126,127,18.326024244853617,18.366296546972066,-0.2192728513092024,-0.1639958633406836,-0.6679542259248534,0.6877917498223763,0.4241916543024937,1.0434033061599948
with_n2v,AtomSegNet,2,07557,91,90,21.43859883835166,21.249528804328193,0.8897610660663464,-0.3454549498531826,-0.7649006372261038,0.8392926231100596,0.8170656283482974,1.0158139490272704
with_n2v,AtomSegNet,2,07443,159,80,17.014686121842445,17.0,0.08638895201438104,-0.29301020712972975,-1.0691627830699932,1.1085865046013237,0.5057099831549503,1.0513946280991735
with_n2v,UNetPP,2,07311,127,127,18.233728146575796,18.366296546972066,-0.7218025694903943,-0.2203669650045821,-0.49400346078731894,0.5409260749263053,0.42338254982342594,1.043201695650777
with_n2v,UNetPP,2,07557,91,90,21.591972178947984,21.249528804328193,1.611533967520448,-0.15284080499398778,-0.40193155159185123,0.43001079502291933,0.6330804351258347,1.1571130295729226
with_n2v,UNetPP,2,07443,159,80,17.0705628477954,17.0,0.41507557526706346,-0.3022570935330939,-0.1862818756851164,0.3550496976478626,0.6219851721902399,1.0805268595041322
with_n2v,HRNet,2,07311,127,127,18.393356630754816,18.366296546972066,0.147335548642284,-0.21584812610019496,-0.5454645423363265,0.5866191102300911,0.4912777683613466,1.033002701844623
with_n2v,HRNet,2,07557,91,90,21.268980832521198,21.249528804328193,0.09154098602432328,-0.312966723836962,-0.6197724882286395,0.6943098064944498,0.8597273108015364,1.0702324611415521
with_n2v,HRNet,2,07443,160,80,16.92098841873919,17.0,-0.4647740074165378,-0.2834787498619189,-0.8462842067384793,0.8925005099148423,0.5703279601805875,1.0845041322314048
no_n2v,AtomSegNet,2,07311,128,127,18.45799835651522,18.366296546972066,0.49929396113486624,0.05385193985786364,-0.646711354900984,0.6489496189877311,0.4164642230198488,1.0223026431989777
no_n2v,AtomSegNet,2,07557,91,90,21.32732747703295,21.249528804328193,0.3661195192662772,0.04086178935583543,-0.1648710418680684,0.1698591954414686,0.7564448480643503,1.0250973922096918
no_n2v,AtomSegNet,2,07443,160,80,16.971672733055676,17.0,-0.1666309820254325,-0.4487322984543283,0.08231096508837807,0.45621899417920403,0.6304515450160084,0.9984504132231404
no_n2v,UNetPP,2,07311,127,127,18.286513843666466,18.366296546972066,-0.43439733808911785,-0.18220128230385174,-0.7156500309260252,0.738479704553611,0.3941669523129001,1.0339732178993062
no_n2v,UNetPP,2,07557,92,90,21.323504947135575,21.249528804328193,0.3481307443970908,-0.2464398921409738,-0.7688618304398034,0.8073915622210204,0.6584913171378933,1.072808712380905
no_n2v,UNetPP,2,07443,160,80,17.05842755658357,17.0,0.3436915093151197,-0.13702896218484703,-0.31932078723396645,0.34748050540595266,0.6683732353122905,1.035020661157025
no_n2v,HRNet,2,07311,128,127,18.376851347505976,18.366296546972066,0.05746831162676793,-0.15278864922600277,-0.6675419690238021,0.6848040973449862,0.4006141640299001,1.0433049499336715
no_n2v,HRNet,2,07557,91,90,21.284107194526577,21.249528804328193,0.1627254444876939,-0.47811364006134294,-0.7992582589355646,0.9313465613236661,0.7009467208430509,1.0343335808576448
no_n2v,HRNet,2,07443,159,80,17.019399446189556,17.0,0.11411438935033151,-0.2844467362471357,-0.09658903674559383,0.30039871467948936,0.6292948132580445,1.0633780991735537
no_n2v,SwinUNet,2,07311,127,127,18.33026847706189,18.366296546972066,-0.1961640432954725,-0.18680746965039313,-0.7608624911554076,0.7834594827841419,0.484638781254698,1.0066745268316122
no_n2v,SwinUNet,2,07557,91,90,20.98175251724496,21.249528804328193,-1.2601516464152909,-0.4455930559440391,-0.6513538112112941,0.7891862637457812,0.7531473642134183,0.9928165120678488
no_n2v,SwinUNet,2,07443,159,80,16.969501329837613,17.0,-0.17940394213169117,-0.2478172896792211,-0.10127299379181239,0.2677118382431219,0.6839750063235306,1.0632231404958676
