precision,recall,f1,rmse_px,rmse_pm,bias_x,bias_y,mae_px,arch,fold,radius,n_images,n_sparse,n_pred,n_gt,count_ratio,f1_macro,f1_frame_sd,coverage,coverage_true,blob_ratio,f1_r1,rmse_r1,f1_r1.5,rmse_r1.5,f1_r2,rmse_r2,f1_r3,rmse_r3,condition
0.8695652173913043,0.9090909090909091,0.888888888888889,0.692518199027068,8.511048666042665,0.029725677055143507,-0.0009799689464262684,0.2981996603282022,AtomSegNet,1,3.0,1,39,23,22,1.0454545454545454,0.888888888888889,0.0,0.310302734375,0.3176422119140625,0.9768938848056876,0.8444444444444444,0.4117075399528658,0.8444444444444444,0.4117075399528658,0.8444444444444444,0.4117075399528658,0.888888888888889,0.692518199027068,no_n2v
0.8863636363636364,0.9069767441860465,0.896551724137931,1.4276792633678288,17.546178146790613,0.626522416231395,0.06674396410448925,0.7437923088984003,AtomSegNet,2,3.0,2,38,44,43,1.0232558139534884,0.9042553191489362,0.0957446808510638,0.304107666015625,0.29296875,1.0380208333333334,0.4827586206896552,0.4982803965381142,0.5747126436781609,0.6960391171454209,0.6896551724137931,0.9668677134449655,0.896551724137931,1.4276792633678288,no_n2v
0.9047619047619048,0.95,0.9268292682926829,1.705658531235141,20.962543348879883,-1.1381510249518647,-0.39227327151132263,0.9449479405570741,AtomSegNet,3,3.0,1,39,21,20,1.05,0.9268292682926829,0.0,0.2816314697265625,0.2810211181640625,1.0021719063908345,0.3414634146341463,0.6320384217362432,0.5365853658536585,0.8995480643542637,0.6341463414634146,1.0973248167277874,0.9268292682926829,1.705658531235141,no_n2v
0.8433734939759037,0.8641975308641975,0.8536585365853657,1.6818808441495556,20.67031557459804,-0.1025365940134745,-0.702151042653454,0.9540969087055118,AtomSegNet,4,3.0,4,36,83,81,1.0246913580246915,0.8517654566080545,0.14562583261896156,0.289794921875,0.28659820556640625,1.0111539997337948,0.20731707317073172,0.6250719582225348,0.41463414634146345,1.0126353158830872,0.6463414634146342,1.2986996159712498,0.8536585365853657,1.6818808441495556,no_n2v
0.8939393939393939,0.9672131147540983,0.9291338582677166,1.5568263144861085,19.133395405034275,0.003660778097057366,-0.36301339211384304,0.8460730982511848,AtomSegNet,5,3.0,3,37,66,61,1.0819672131147542,0.9301587301587301,0.05836436924079438,0.3116302490234375,0.2941436767578125,1.0594490844010997,0.3937007874015748,0.658750395612675,0.5984251968503937,0.9025115091606781,0.6929133858267716,1.050164286066341,0.9291338582677166,1.5568263144861085,no_n2v
0.8695652173913043,0.9090909090909091,0.888888888888889,0.6793285181804978,8.348947488438316,-0.20586443782794203,-0.3125487228758588,0.2765139268733562,HRNet,1,3.0,1,39,23,22,1.0454545454545454,0.888888888888889,0.0,0.31378173828125,0.3176422119140625,0.9878464716337608,0.8,0.35485113929788253,0.8444444444444444,0.4352232217839004,0.8444444444444444,0.4352232217839004,0.888888888888889,0.6793285181804978,no_n2v
0.9069767441860465,0.9069767441860465,0.9069767441860465,1.443375242675954,17.739081732487474,0.6600999772133912,-0.13175386603573414,0.7598962872352029,HRNet,2,3.0,2,38,43,43,1.0,0.9130434782608696,0.08695652173913043,0.30426025390625,0.29296875,1.0385416666666667,0.4418604651162791,0.5496797516587915,0.6046511627906976,0.8094956848888014,0.7441860465116278,1.0387538924477646,0.9069767441860465,1.443375242675954,no_n2v
0.8181818181818182,0.9,0.8571428571428572,1.8938723715268526,23.275691446065018,-1.171232156247402,-0.5999638207950544,1.1283847439279249,HRNet,3,3.0,1,39,22,20,1.1,0.8571428571428572,0.0,0.2940216064453125,0.2810211181640625,1.046261606124776,0.14285714285714282,0.7775819382349897,0.3333333333333333,1.0911977716390917,0.47619047619047616,1.2852602534018855,0.8571428571428572,1.8938723715268526,no_n2v
0.8192771084337349,0.8395061728395061,0.8292682926829269,1.631921604414526,20.056316518254523,-0.020087299062828284,-0.720414604452964,0.9396467492620151,HRNet,4,3.0,4,36,83,81,1.0246913580246915,0.8288145207033466,0.11085467728262045,0.305816650390625,0.28659820556640625,1.0670571010248902,0.1951219512195122,0.6269241918301033,0.46341463414634143,1.0481305342022438,0.5853658536585366,1.2249511857339932,0.8292682926829269,1.631921604414526,no_n2v
0.7384615384615385,0.7868852459016393,0.7619047619047619,1.414090771264559,17.37917557884143,0.030156953419792815,-0.19630875607929488,0.7685508208237941,HRNet,5,3.0,3,37,65,61,1.0655737704918034,0.7661616161616163,0.1301404513902278,0.3069203694661458,0.2941436767578125,1.043436910999291,0.38095238095238093,0.590839647324087,0.5238095238095238,0.7941371522888048,0.619047619047619,1.01440490673652,0.7619047619047619,1.414090771264559,no_n2v
