stem,n_columns,d_px,d_A,d_mad,a1_px,a2_px,angle_deg,indexed_frac,resid_px,exx_sd,eyy_sd,exy_sd,err_exx,err_eyy,err_exy,condition,arch,fold
07188,43,26.063118072721462,3.2031572111374675,0.49141460210735133,26.132210091392974,26.051933818218796,70.64712859432366,1.0,0.6376903497138484,0.010909536636442015,0.007508166403501766,0.008249948638943835,0.004026106145139874,0.0018130991903373417,0.0016295449775520796,with_n2v,AtomSegNet,2
07189,43,26.266180652688714,3.228113602215443,0.36186833276016017,26.128278438208483,26.240750752347274,70.37731175410957,1.0,0.6195914090913314,0.012476408718415774,0.00852084720121491,0.006747541380165586,0.0042956304302053105,0.007017284739517571,-0.002297756382790809,with_n2v,AtomSegNet,2
07192,43,26.07413631686854,3.2045113533431433,0.03427419174443358,26.08049024165953,26.07309630925841,70.50553434535301,1.0,0.05023366303650745,0.0013962785605065443,0.0016010741244054162,0.000680813680769792,0.0017936803746108065,0.0019991611125127484,0.00023630181003599587,with_n2v,AtomSegNet,2
07220,43,26.09128945874607,3.2066194744798917,0.14161931442882647,26.08732428963063,26.068996116053086,109.4953563360934,1.0,0.1491193111259081,0.00207109372765244,0.0029719749906663975,0.0017109642526247843,0.00168504074704523,0.0021462089041472954,0.0003602810831412749,with_n2v,AtomSegNet,2
07225,43,26.26914025176773,3.228477336942254,0.6699685801381463,26.015990628641003,26.049488296785754,109.71367636892542,0.9534883720930233,0.8840042235859173,0.017897443459719286,0.012719492496368173,0.010091416964720776,0.0012276021647130708,-0.0022025385108556117,0.001616705619648503,with_n2v,AtomSegNet,2
07229,43,26.123035909504374,3.2105211132780873,0.149536186786019,26.091924244594548,26.098698642227028,109.50058954524198,1.0,0.1850891075608782,0.004147318050900986,0.003453446402473256,0.002643227817853475,0.0028848192848620613,0.002261813179678107,1.856180491522009e-05,with_n2v,AtomSegNet,2
07248,69,21.302189430009783,2.6180390809482024,0.2598571936036631,21.26479299596548,21.255339562152,89.89305815635699,1.0,0.5058520389541565,0.0065549699587826174,0.01539774742865481,0.007932120981149123,0.0007087296812742228,0.0002450550699253373,0.0009335468014349483,with_n2v,AtomSegNet,2
07249,69,21.23682355010155,2.6100056143074806,0.35556959965700585,21.25249117631638,21.29237340787835,90.10493709226684,1.0,0.4517674927548178,0.008110258273963474,0.009182668314252079,0.005605372355958763,0.0019777098954527617,0.0001292453167134333,0.0009156836520042471,with_n2v,AtomSegNet,2
07252,70,21.345958813728117,2.6234183382071854,0.6531823393711971,21.261953119577495,21.269267270979213,89.71255592183056,0.9285714285714286,0.9788340117907777,0.014337110256676841,0.013936763893571229,0.014453218500648849,0.0005389559067008332,0.0009204179798381062,0.002509918241844242,with_n2v,AtomSegNet,2
07255,41,25.768982235840326,3.167007916784776,4.404525347215808,21.281459087152868,21.288174449641286,90.04755023527792,1.0,0.15831676654801324,0.00177453422159177,0.0040481517381325115,0.002426575358329178,0.0019706066485862817,0.0012809572678162962,0.0002752153548340668,with_n2v,AtomSegNet,2
07262,70,21.24102480911855,2.6105219490406695,0.5608574959282357,21.14095915318826,21.287699727365048,90.02183818412708,0.9714285714285714,0.6729899872310092,0.021032341384858818,0.014785268054137496,0.009054397032865466,0.0014074991329053876,-0.0047560109555163654,-0.0015539869615455537,with_n2v,AtomSegNet,2
07268,41,21.213565385667692,2.607147185898559,0.5354682860890758,21.098568197527225,21.136608142387708,90.16586031610586,0.975609756097561,0.701269676146852,0.014216547009816142,0.0161815546749309,0.010805073320164305,-0.004537030814257492,-0.007922245653551707,-4.89713245683753e-05,with_n2v,AtomSegNet,2
07273,69,21.383742520663166,2.628061955789503,0.2668926100820581,21.275224035360257,21.271918578691068,90.01908713257026,1.0,0.06909512179384399,0.0014812074903903562,0.002523880648431983,0.0012606759801723464,0.001295072539915454,0.0008954625801012028,8.099437451399945e-05,with_n2v,AtomSegNet,2
07274,69,21.271454326442033,2.6142617367197256,0.13132925143197838,21.28549446846687,21.275908019847993,90.03661317719366,1.0,0.20580623468408063,0.003454950608112061,0.004287909223833423,0.002825368061679154,0.0017835383550386386,0.001077708406251654,0.0002289668817188139,with_n2v,AtomSegNet,2
07278,42,21.22829671860768,2.6089576667168837,0.5423169228184985,21.07777041273033,21.161405690024292,89.13736085706327,0.9523809523809523,0.8040642260100002,0.02137122279406073,0.01779130642552551,0.011442240317859986,-0.013685580456729851,0.0013023841208774645,-0.0019467713123657161,with_n2v,AtomSegNet,2
07279,70,21.258074790946786,2.61261739180736,0.6304237971502786,21.189070781642037,21.27858232668181,89.67069989587007,0.9571428571428572,0.9106121609559252,0.014012079987723058,0.013900789193106538,0.015591909033003504,-0.0035690562203605225,0.002151371468076091,-0.0021089146031110432,with_n2v,AtomSegNet,2
07287,69,21.33288835446767,2.6218119787640766,0.5031609987213077,21.278496590775113,21.341505888890556,90.1158726117012,0.9855072463768116,0.7052366293150767,0.01373195620180287,0.015292769165597212,0.010054045697029938,0.0029527197730094823,0.002685119327859642,-0.0017901340293770334,with_n2v,AtomSegNet,2
07290,41,21.227885887312166,2.608907175550665,0.7132988475896269,20.93571712596803,21.234354664125636,90.6732600163091,0.9512195121951219,1.1314016426880213,0.02706084587884373,0.022326581140948196,0.012166179683826049,-0.006241119926500782,-0.009319935380857403,-0.009006145761292068,with_n2v,AtomSegNet,2
07291,69,21.427689767546696,2.6334630724314887,0.32010178283996815,21.276808863758443,21.272261411180455,90.00611370906425,1.0,0.07422028492816003,0.0012604732477329227,0.0020703069185883,0.0015026931523844616,0.001265487286788325,0.0010316953882676394,9.336475112668214e-06,with_n2v,AtomSegNet,2
07294,69,21.29253034238591,2.616851979079228,0.32457750049953127,21.34203093157647,21.29447955895394,89.91401520596446,1.0,0.44070820796228677,0.00915313398754682,0.011643950612802666,0.005800447887841153,0.003818693039916665,0.0026107449712211572,0.0012122321306214374,with_n2v,AtomSegNet,2
07301,69,21.26891741198454,2.6139499499328998,0.1449737480514397,21.273311909630696,21.28041010950625,90.05072055703181,1.0,0.201029802630666,0.004515784685976618,0.0050282720177603464,0.004101661288426184,0.0014348858060539982,0.0010953412187189038,0.0004408228460535251,with_n2v,AtomSegNet,2
07304,69,21.324089642323635,2.6207306170415747,0.37492579794647796,21.266884071011173,21.318215801480605,89.96174306003705,0.9855072463768116,0.6128859110899322,0.013505422979152318,0.011929526026170789,0.008542322918816191,0.00321609082372043,0.0007864019134613542,-0.00033616990607976177,with_n2v,AtomSegNet,2
07308,69,21.21436555648488,2.6072455268919916,0.3456806351197841,21.2323751998411,21.261881203428082,89.85787543767094,1.0,0.6310019524222558,0.011162574709898714,0.018926920478369906,0.011462633964693112,0.0005413105785052608,-0.0008137972524127068,-0.001239016511323024,with_n2v,AtomSegNet,2
07311,127,18.412035551688472,2.262839169302513,0.6998478063162743,11.701024040685432,18.81288278983968,108.00494176113104,0.25196850393700787,2.275419474064535,0.024311847566945127,0.016010511601918916,0.012485927057896275,-0.33197626498954824,0.02043045046358727,0.11048907189582735,with_n2v,AtomSegNet,2
07314,130,29.25409751763723,3.5953285849176155,4.682863077334751,28.208757093254224,31.2848952760555,80.77687176277921,0.08461538461538462,4.649044365066543,0.007369662379898095,0.013574886738540326,0.0056488777436750565,0.26866190254171385,2.36041783435319,0.44361938438400067,with_n2v,AtomSegNet,2
07317,127,18.75846007066349,2.3054147426845426,0.7574329570020311,18.505183516695176,16.17821255488528,114.47166945633258,0.14173228346456693,1.9803649666120462,0.02201957250264243,0.01405668396434963,0.019754713692273627,-0.07246644071931752,0.01776237638971878,-0.041056173251324095,with_n2v,AtomSegNet,2
07318,115,18.76001109669602,2.3056053637839407,0.7935806924132152,18.019717196885964,17.897169277871676,65.33061397310809,0.46956521739130436,2.465443420746332,0.0396293965104112,0.04058114353107238,0.026580132388212534,-0.05085914325289753,0.0025195530728647775,-0.07704883668033044,with_n2v,AtomSegNet,2
07334,107,19.11768792064009,2.349563845446667,0.9652022443965933,18.971371363114507,15.674478981741188,67.89546875369848,0.24299065420560748,1.9195717934871586,0.03143588311541669,0.029049766452927856,0.016605736506137125,0.13320885466867605,0.11430174386360425,0.1425480767768468,with_n2v,AtomSegNet,2
07338,111,18.682346630214987,2.296060400853422,0.7612812988061268,10.493166685352183,19.065708265809608,104.71076289914011,0.2882882882882883,1.5935811877546175,0.03341406877145158,0.02192011292197809,0.019162221986592044,0.12595669686236488,0.005865022076779747,0.025139291874590103,with_n2v,AtomSegNet,2
07342,108,18.874527691996,2.3196794533463083,0.8658312567115232,11.969685049902012,18.988627400024736,103.1737499020914,0.28703703703703703,1.8747346918684347,0.019028073847298384,0.046908263109955634,0.019094638935999088,-0.3636962909162239,0.22397483147804387,-0.10284098779083112,with_n2v,AtomSegNet,2
