stem,condition,arch,iou,psnr,fp_pct,fn_pct
01207,with_n2v,AtomSegNet,0.942223761690336,28.938275835703088,0.5218505859375,0.750732421875
01207,with_n2v,UNetPP,0.9439058171745153,12.024657206121399,0.52947998046875,0.70648193359375
01207,with_n2v,HRNet,0.9284306826178748,23.9691221059758,0.17852783203125,1.373291015625
01207,no_n2v,AtomSegNet,0.9396617190196755,27.208963957889,0.59814453125,0.7354736328125
01207,no_n2v,UNetPP,0.9403679278028463,30.45744047326954,0.47607421875,0.83465576171875
01207,no_n2v,HRNet,0.9420169807413543,26.56762662562309,0.6011962890625,0.6805419921875
01207,no_n2v,SwinUNet,0.9368326789281533,37.81099450205665,0.64697265625,0.75225830078125
01340,with_n2v,AtomSegNet,0.8148049314191173,14.482722629988148,3.1463623046875,2.1484375
01340,with_n2v,UNetPP,0.8296894803548795,15.08284228177998,3.45001220703125,1.470947265625
01340,with_n2v,HRNet,0.7909237433262819,7.80751287663273,4.85076904296875,1.483154296875
01340,no_n2v,AtomSegNet,0.8529363828978106,18.916193485121646,2.642822265625,1.48773193359375
01340,no_n2v,UNetPP,0.8373300917228423,18.093484178410343,2.17132568359375,2.32086181640625
01340,no_n2v,HRNet,0.8128378378378378,19.14902037839349,3.91387939453125,1.580810546875
01340,no_n2v,SwinUNet,0.798780811025709,29.231524441224877,3.3416748046875,2.4505615234375
01693,with_n2v,AtomSegNet,0.8991457047935453,32.787079997186446,1.0040283203125,0.94146728515625
01693,with_n2v,UNetPP,0.9055756812096393,10.298928305582251,1.0894775390625,0.74005126953125
01693,with_n2v,HRNet,0.9036173633440514,26.666050364969678,0.69580078125,1.13372802734375
01693,no_n2v,AtomSegNet,0.9045005488474204,29.399334055090677,1.1749267578125,0.68359375
01693,no_n2v,UNetPP,0.8998738568274992,33.25775210821535,1.068115234375,0.8697509765625
01693,no_n2v,HRNet,0.9018515612741252,29.184148902646427,1.1627197265625,0.74615478515625
01693,no_n2v,SwinUNet,0.9046538912788424,39.43078001720737,1.22222900390625,0.6378173828125
