n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,shift,matched_frac
132,1.2875503330178617e-08,1.182507958219503e-08,4.812952703048268e-08,5.349774304193033e-08,4.659889650493141e-05,07457,0.0,1.0
132,0.001838177854899925,-0.00012942096027757088,0.001235248570707064,0.0006166584720624261,0.006326499953131086,07457,0.125,1.0
132,0.003914847774890262,4.74078033363412e-05,0.002612503867724181,0.0010942903102654745,0.008466522767826355,07457,0.25,1.0
132,0.005997960716157991,-1.1748617453122279e-05,0.004489990796652771,0.0011368921704290101,0.010378395065388606,07457,0.375,1.0
132,0.008563391055027125,6.987013696857503e-05,0.006554596627527887,0.00048590446162364773,0.010616577766101505,07457,0.5,1.0
132,-0.004925557707920802,-4.5156494422826654e-05,0.006781282231788503,0.0006201212907302093,0.01035641219326579,07457,0.625,1.0
132,-0.004383354229787528,-4.238888462282375e-05,0.002596374679614652,0.0009078971814551252,0.008519948636528685,07457,0.75,1.0
132,-0.0023124946118358025,-2.866628949504957e-05,0.001383304677633258,0.0007786114712731887,0.006282496022428966,07457,0.875,1.0
127,1.234064939126256e-08,2.2766073470847914e-09,8.155005959906702e-08,5.5890403388048066e-08,3.571268847307816e-05,07311,0.0,1.0
127,0.0035978180537838966,-4.8464898142697166e-05,0.0014991816417250432,0.0006240390520232723,0.010600635854852814,07311,0.125,1.0
127,0.007168971621254627,-1.3563691737772388e-05,0.002788813845599438,0.0011241036897351817,0.014073533786093016,07311,0.25,1.0
127,0.010484072883766515,-0.00013275138468316072,0.0053543533471998245,0.0008654803513618077,0.016286123736917006,07311,0.375,1.0
127,-0.013338936781650546,-5.3292476025035285e-05,0.011099949824266087,0.0011694629541201792,0.01669750119538508,07311,0.5,1.0
127,-0.010799812509610263,3.659202761241431e-05,0.004257932025225811,0.000881576668602986,0.015635088412061748,07311,0.625,1.0
127,-0.007422488726575693,-7.456992811682994e-05,0.0025183502521985758,0.0009464298906114976,0.013335289519330292,07311,0.75,1.0
127,-0.003911876920284385,-2.2486598268756097e-05,0.001448725282594512,0.0007885262612302284,0.009936706849554656,07311,0.875,1.0
109,-1.0691366014725645e-08,-1.0197993560723262e-09,6.895005228955142e-08,4.332057743994255e-08,1.748634653033797e-05,07342,0.0,1.0
109,0.0033240957429114815,-2.10793760118122e-05,0.0018549417383516185,0.0008242805388843863,0.010067022227622631,07342,0.125,1.0
109,0.006510872297994297,-4.922621300806895e-05,0.0039923570737043146,0.0012513446745086043,0.015257126877093158,07342,0.25,1.0
109,0.010043444296826465,-0.00013444369909620946,0.006179872980017562,0.0009406082698573499,0.01666085595801629,07342,0.375,1.0
109,-0.014515320327333825,-5.666395838943572e-05,0.006422602208549412,0.001411133697614494,0.016681459834003095,07342,0.5,1.0
109,-0.011157249615422415,-8.827805991984405e-05,0.0035845449397354113,0.0014438947177766038,0.015541311207096651,07342,0.625,1.0
109,-0.007083699827958867,-0.00019313927946029708,0.002708170997050628,0.0011749118953077555,0.013396894108502208,07342,0.75,1.0
109,-0.00356172845786773,-3.197286945066935e-05,0.0015338418161530028,0.0007477766625723887,0.010189530160781163,07342,0.875,1.0
