condition,arch,fold,stem,n_columns,iou,dice,psnr,fp_pct,fn_pct,coverage,fold_iou
no_n2v,AtomSegNet,2,00289,22,0.9387355298308103,0.9683997795333456,24.28459527936228,0.8056640625,0.76904296875,0.2493438720703125,0.8808411620132294
no_n2v,UNetPP,2,02628,15,0.8679292196759355,0.9292956184137549,21.012447803468795,2.75421142578125,2.1087646484375,0.3471221923828125,0.8708891354468062
no_n2v,HRNet,2,01699,16,0.8788367096378146,0.9355115376761283,25.19303132226839,1.59912109375,0.81024169921875,0.1907501220703125,0.8659584830969597
no_n2v,SwinUNet,4,01362,22,0.8510807736063709,0.9195501198451232,29.593307920980227,2.4871826171875,1.507568359375,0.253173828125,0.8594146307219481
with_n2v,AtomSegNet,2,00494,16,0.8341023069207623,0.9095482883079952,15.989415257107876,2.471923828125,1.31378173828125,0.215057373046875,0.8647378606394128
with_n2v,UNetPP,2,00759,15,0.8629254829806807,0.9264197530864198,8.125421894848726,1.092529296875,0.726318359375,0.12542724609375,0.8717071091738137
with_n2v,HRNet,2,01216,18,0.9288123682361209,0.9630925055561628,24.288785730064532,0.20904541015625,1.336669921875,0.203765869140625,0.8341908042481908
