stem,condition,arch,iou,dice,psnr,fp_pct,fn_pct,coverage,blob
00253,no_n2v,AtomSegNet,0.9337573689109525,0.9657440834336141,23.76437354484024,1.0528564453125,0.90179443359375,0.2860565185546875,1.0053088803088803
00253,no_n2v,UNetPP,0.9251630797678361,0.9611269709986393,24.978319796100344,1.25274658203125,0.970458984375,0.2873687744140625,1.0099206349206349
00253,no_n2v,HRNet,0.9257689325407082,0.9614538036184034,26.45593774596852,1.06353759765625,1.12762451171875,0.283905029296875,0.9977477477477478
00253,no_n2v,SwinUNet,0.9218400162833299,0.9593306502859563,34.75797754170773,1.531982421875,0.811767578125,0.291748046875,1.0253110253110254
00253,with_n2v,AtomSegNet,0.9289513089275572,0.9631671931045559,24.39147390754244,1.09710693359375,1.00250244140625,0.285491943359375,1.0033247533247533
00253,with_n2v,UNetPP,0.9340983098154753,0.9659264010262166,14.077306405104075,1.06658935546875,0.87890625,0.2864227294921875,1.0065958815958815
00253,with_n2v,HRNet,0.9242751388032079,0.960647591568486,18.05718728136134,1.226806640625,1.02081298828125,0.2866058349609375,1.0072393822393821
00257,no_n2v,AtomSegNet,0.8562002716863962,0.9225300575013069,23.459199995773837,2.996826171875,1.52587890625,0.29925537109375,1.0516945516945517
00257,no_n2v,UNetPP,0.8507813648165384,0.9193753308628905,28.46851908999739,2.69317626953125,1.95465087890625,0.29193115234375,1.025954525954526
00257,no_n2v,HRNet,0.8544282321004412,0.9215004574565416,26.90619608484342,3.02276611328125,1.5594482421875,0.2991790771484375,1.0514264264264264
00257,no_n2v,SwinUNet,0.8450785693627687,0.916035320549663,26.18525459536755,3.2012939453125,1.702880859375,0.299530029296875,1.0526598026598026
00257,with_n2v,AtomSegNet,0.8551021403149529,0.921892247043364,16.44688329816255,2.84271240234375,1.69219970703125,0.296051025390625,1.0404332904332905
00257,with_n2v,UNetPP,0.8634518269135558,0.9267229927201233,11.213669142831979,2.3651123046875,1.84326171875,0.289764404296875,1.0183397683397684
00257,with_n2v,HRNet,0.8384508858220715,0.9121275877295514,15.951267680060221,3.49884033203125,1.6632080078125,0.3029022216796875,1.0645109395109396
00260,no_n2v,AtomSegNet,0.8946740858505564,0.9444094818544158,22.45266989213286,2.25830078125,0.9765625,0.29736328125,1.045045045045045
00260,no_n2v,UNetPP,0.8921331316187594,0.9429919245222675,20.094483675210476,1.8035888671875,1.46026611328125,0.2879791259765625,1.0120656370656371
00260,no_n2v,HRNet,0.8894394394394395,0.9414849937749994,21.16707219187285,2.032470703125,1.33819580078125,0.2914886474609375,1.0243993993993994
00260,no_n2v,SwinUNet,0.8632153651165058,0.9265867824812934,32.19755095366734,2.8472900390625,1.434326171875,0.298675537109375,1.0496567996567996
00260,with_n2v,AtomSegNet,0.8271180048088256,0.9053799509740679,18.726734231156012,3.91082763671875,1.6845703125,0.3068084716796875,1.0782389532389531
00260,with_n2v,UNetPP,0.8921529175050302,0.9430029774564015,16.1922106473843,1.8798828125,1.3916015625,0.2894287109375,1.0171600171600172
00260,with_n2v,HRNet,0.8292530120481928,0.9066575335247781,9.737018223281733,3.2073974609375,2.19879150390625,0.2946319580078125,1.0354461604461604
