n_frames,n_matched,precision,recall,f1,bias_x,bias_y,bias_mag,scatter_x,scatter_y,rmse_px,condition,arch,fold,iou,bias_share
40,733,0.9290240811153359,0.9670184696569921,0.9476405946994183,0.08807593737523689,-0.3495422884920458,0.3604680043898255,0.6649333994882081,0.7712467343140991,1.3224901038835437,no_n2v,AtomSegNet,2,0.8808411620132294,0.07429311748931637
40,666,0.9135802469135802,0.9487179487179487,0.9308176100628931,-0.10927795837521259,-0.3900203904635404,0.40504021672420043,0.8285229456013851,0.8469619081555333,1.3917432441830133,no_n2v,UNetPP,2,0.8708891354468062,0.08469895455926069
40,632,0.8901408450704226,0.9239766081871345,0.9067431850789096,0.0479345584505495,-0.3441593108386396,0.3474814428581424,0.7835055751619133,0.7489344770347078,1.4052762489530997,no_n2v,HRNet,2,0.8659584830969597,0.06114202524451876
40,622,0.8975468975468975,0.9381598793363499,0.9174041297935103,0.11852335050831897,-0.277358033951316,0.3016210596312154,0.7633384872514594,0.8316626822365509,1.3770857055305525,no_n2v,SwinUNet,2,0.8554160015925176,0.047973497547176544
40,672,0.8865435356200527,0.935933147632312,0.9105691056910569,0.29426947411836224,-0.6377444250283233,0.7023620683469489,0.9649351961112579,1.0819133595103323,1.5865781167276423,with_n2v,AtomSegNet,2,0.8647378606394128,0.19597432552520314
40,582,0.8725637181409296,0.919431279620853,0.8953846153846153,0.4318981335879677,-0.4318401843890918,0.6107552231868139,0.7909109795208599,0.9396862656546487,1.4690276681915932,with_n2v,UNetPP,2,0.8717071091738137,0.17285200776353252
40,695,0.8655043586550436,0.91688654353562,0.8904548366431775,-0.2273272285003003,-0.7062277039078424,0.7419132284739037,1.1454948298913115,0.8705196504255893,1.6097677501797731,with_n2v,HRNet,2,0.8341908042481908,0.21241236006539357
