exx,eyy,exy,rot,x,y
0.02835440295156069,-0.0513009723201896,-0.0018478807602015125,-0.051032538441338676,67.21095365252542,41.1554098800178
0.01279385480942316,0.08877591638226702,0.011555857233663145,0.015014668337059304,52.02742152920881,64.05641449195197
0.012634561063283542,-0.015875373957716446,0.025580255065162663,-0.018361585352097184,164.61246305677918,69.19985190972602
-0.08556178072909465,-0.010616244567653421,0.003523198719708349,0.007228882467597958,147.16747316633933,77.0956496701466
0.017839702087229337,-0.009385355393040612,0.022055384610267653,-0.001875072339312998,73.9953269538951,86.17103043455855
0.002625517336896289,0.03488309915399372,-0.0029812065927227833,0.006750465173321995,149.42893093346254,92.10085652166018
-0.02204395404314435,0.054021541897675204,0.00927560829556986,-0.006803931962668168,131.9839410430227,99.99665428208075
-0.001562125455278025,-0.02375440392082579,-0.007176813297216167,-0.029671616539540292,191.10328401571192,121.32488155535977
-0.024367593881601833,0.052532375294237627,-0.017109168219566744,-0.0066108554660424396,153.951846467709,122.11127022468735
-0.0012006836007423067,-0.03167398013615374,-0.014880112273183341,0.006724590902034963,64.46543924838656,146.58505217527664
-0.04705302383102365,0.05862973365128213,0.01021850217423508,-0.02086835229701605,120.19259557039094,145.4054691712853
-0.07910842320389626,0.019118611324705936,0.003550503724035174,-0.004656174439807826,139.899043227954,152.5148782623783
0.03260594681896223,0.01037794868074464,0.007257616520424736,-0.02577454483631073,89.8255313237577,191.2074783951536
-0.01286021540899993,-0.009371542305292344,0.023124080872507176,-0.042023127128728695,108.40125009775915,190.81428406048983
-0.046464910003909086,-0.03254686804922754,-0.01016629696521179,-0.0069627795500581124,147.8141454128853,205.03310224267582
0.018326527048756085,-0.019763600060141356,0.018714570204183725,-0.012564913774549784,56.55033706345526,94.06682819497914
-0.0036573232719408983,0.0016415992942948598,0.0066319891264393725,0.006351877030282246,99.35541902926624,130.7934566544355
0.00871626092958061,-0.02534262996058352,-0.02140105297456739,-0.03513278708965448,195.62619954995836,151.33529525838694
-0.04121190782767944,0.03153799303048996,0.04803309811582814,-0.029918392658781844,71.73386918677187,71.16582358304497
-0.0031570597226059246,-0.03403554224579192,0.029327585268409312,-0.020227901425552405,184.31891071434222,76.30926100081902
-0.046011779105451005,0.07429757871782416,-0.002243511021331676,-0.04892898542042649,134.24539881014593,115.00186113359435
-0.051643865558607976,0.05546653137270116,-0.0031734671996444218,-0.041027934584539544,117.9311378032677,130.4002623197717
-0.026798752525551205,0.037048954389349464,-0.036795847321900416,0.01902116266423257,158.47476200195547,152.1216839277145
-0.0007452235533726811,-0.03950709189524476,-0.010620915730263854,0.060329133575676,161.8669486526403,174.6294942049849
-0.07437640149925061,0.02190004273919274,0.07274478747353959,0.0498654864575925,218.7248338582063,180.95251462675031
0.017663551025864033,0.025613822640562924,0.015299767842660007,0.005267003468280675,200.14911508420482,181.3457089614141
-0.07893504396715789,-0.030456118746787865,0.009883713198067684,0.02664472822567237,144.42195876220046,182.52529196540547
