condition,arch,fold,params_M,tensors,GMACs,iou,psnr,ms_median_b1,ms_p90_b1,img_per_s_b1,vram_mb_b1,ms_median_b4,ms_p90_b4,img_per_s_b4,vram_mb_b4,ms_median_b8,ms_p90_b8,img_per_s_b8,vram_mb_b8,train_s,iou_per_GMAC,ms_per_milli_iou
no_n2v,AtomSegNet,2,9.121142,97,18.010210304,0.8808411620132294,25.283373533362607,12.234799999532697,13.785680000728462,81.73407003287299,177.3505859375,25.884550000228046,26.048350000019127,154.53233685595305,460.47021484375,49.03340000055323,49.26387999985309,163.15409496200016,837.55615234375,,0.0489078776508011,0.2622659414723637
no_n2v,UNetPP,2,9.118165,116,34.98442752,0.8708891354468062,27.10105268128101,32.15849999924103,32.64816999962932,31.095977736013836,287.52392578125,78.64709999921615,79.20194000016636,50.860108001946244,897.51611328125,136.5567499997269,137.08263000080478,58.58370238026315,1709.41748046875,,0.024893622596766342,0.8762932522549699
no_n2v,HRNet,2,9.181082,143,106.135289856,0.8659584830969597,25.89607619348334,49.26200000136305,49.457019999863405,20.29962242646118,641.1376953125,149.64209999925515,150.12748000026477,26.73044550978575,2314.3876953125,669.2318499990506,674.520300000222,11.954003683493768,4545.3876953125,,0.008159006154049766,1.5506956058806132
no_n2v,SwinUNet,2,9.271898,219,2.818572288,0.8554160015925176,31.09872371775949,20.368649999909394,22.674389999519917,49.09505539171464,115.978515625,22.643750000497676,28.874279999399732,176.64918575377692,209.447265625,30.363949999809847,36.131309998745564,263.470332418875,335.072265625,,0.3034926601792083,0.9596447876793941
with_n2v,AtomSegNet,2,9.121142,97,18.010210304,0.8647378606394128,21.22261428479812,13.665599999512779,19.800309999482124,73.17644304206571,177.3505859375,26.94554999925458,27.1623600001476,148.44751731215936,460.47021484375,51.51354999998148,52.28826999937155,155.29894561727693,837.55615234375,,0.04801375697691646,0.44736225396147683
with_n2v,UNetPP,2,9.118165,116,34.98442752,0.8717071091738137,12.60243849603284,33.687499999359716,35.26486999944609,29.684601113736743,287.52392578125,86.72980000028474,87.51456999962102,46.12024932591644,897.51611328125,154.16774999994232,163.20987999952195,51.891527248746854,1709.41748046875,,0.024917003677578365,0.8979429094962366
with_n2v,HRNet,2,9.181082,143,106.135289856,0.8341908042481908,16.58739090666585,54.46380000012141,55.797190001067065,18.360819480054108,641.1376953125,167.48550000102114,168.13568999932613,23.882664469315927,2314.3876953125,700.2197499996328,711.1373099996854,11.424984799420747,4545.3876953125,,0.007859693089640464,54463800000.12141
