arch,condition,fold,metric,epochs,final,best,best_epoch
SwinUNet,no_n2v,1,best_f1,60,0.8917060307135464,0.8918698773165213,57
SwinUNet,no_n2v,1,psnr,60,30.334793090820312,30.334793090820312,60
SwinUNet,no_n2v,2,best_f1,60,0.8942049096239048,0.8942049096239048,60
SwinUNet,no_n2v,2,psnr,60,30.423978805541992,30.423978805541992,60
SwinUNet,no_n2v,3,best_f1,60,0.892148930260165,0.8922035400090131,57
SwinUNet,no_n2v,3,psnr,60,30.365467071533203,30.366498947143555,58
SwinUNet,no_n2v,4,best_f1,60,0.8939079220721077,0.8939079220721077,60
SwinUNet,no_n2v,4,psnr,60,30.540462493896484,30.540462493896484,60
SwinUNet,no_n2v,5,best_f1,60,0.8923865899647158,0.892508078733772,59
SwinUNet,no_n2v,5,psnr,60,30.194944381713867,30.194944381713867,60
