condition,arch,n_folds,n_frames,n_atoms,exx_median,exx_sigma,eyy_median,eyy_sigma,exy_median,exy_sigma,rotation_median,rotation_sigma,dilatation_median,dilatation_sigma,shear_max_median,shear_max_sigma,lattice_rmse_px,displacement_rms_px,a1_px,a2_px,cell_angle_deg
no_n2v,AtomSegNet,1,4,143.5,0.00024960507777192965,0.009590527757271886,0.0014626532096878907,0.015816919662444508,0.00032040837162481154,0.006429876560555842,0.00035371741962038307,0.006383312597340412,0.002867412949267266,0.017225800778411696,0.007570210266652071,0.0047053697811130545,0.6704518043492713,0.6704518043492713,16.071691463712607,15.975409767335432,89.7474838724007
no_n2v,HRNet,1,4,130.5,0.0008708536382253677,0.00707799441416232,0.0037127354583265455,0.01541859823794915,-8.82017192594425e-05,0.007608942315029874,0.0005953357457814216,0.006759165196717312,0.006019478549859944,0.016228938352673784,0.007811185244690295,0.0050773385583750275,0.7221598395468906,0.7221598395468906,18.544380503183604,18.516781228957747,89.82799587818539
no_n2v,UNetPP,1,4,131.5,0.002149015705435746,0.005767219707766438,-0.0005542600150309288,0.01330763946272818,-0.00022300979552699175,0.005865600983594543,-0.00042703268635588504,0.006838271634214645,0.0019649375164816204,0.01619404376899667,0.0074614983972031736,0.004130316336972046,0.8393321124557009,0.8393321124557009,16.027581356818224,16.043038945077768,94.96832139402477
