psnr,ssim,iou,best_thresh_logit,best_thresh_prob,best_f1,precision,recall,epoch,train_loss,l_den,l_seg,img_per_s,gauss_psnr,lr,time,gpu_gb,condition,arch,fold,epochs_run,batch,eval_batch,grad_accum,effective_batch,oom_retries,n2v_checkpoint,metric_source,source,ckpt,eval_n,mask_threshold,n_val
27.651426315307617,0.8662542104721069,0.8250693082809448,0.5,0.6224593312018546,0.9067388262019712,bf16,0.9068512878073134,60.0,0.954164481594702,0.07137395776704493,0.882790525809636,60.78628191818159,24.686704699682622,2.9999999999999997e-06,202.09028935432434,12.75710153579712,no_n2v,AtomSegNet,1,60.0,32.0,4.0,1.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
27.827486038208008,0.8685718774795532,0.8247363567352295,0.5,0.6224593312018546,0.9060890935113844,bf16,0.9048457667124356,58.0,0.9469619830006677,0.07020108138203289,0.8767609018469256,59.45603729676443,25.085668904156645,3.8705133625776e-06,208.2100830078125,12.756131649017334,no_n2v,AtomSegNet,2,60.0,32.0,4.0,1.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
28.154268264770508,0.8735557794570923,0.8224632143974304,0.5,0.6224593312018546,0.9054643236249323,bf16,0.9073676233050336,60.0,0.9537700449523819,0.0668003992761244,0.8869696457073881,60.70002369930767,24.152100154641484,2.9999999999999997e-06,202.99712491035461,12.574052810668945,no_n2v,AtomSegNet,3,60.0,32.0,4.0,1.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
27.671810150146484,0.8668200373649597,0.8241775631904602,0.5,0.6224593312018546,0.906172985602376,bf16,0.9051426357704879,57.0,0.9697190828642142,0.07201978654541014,0.897699294482101,60.44472103494056,22.819168435436136,4.9562614025833675e-06,202.56902074813843,12.757108211517334,no_n2v,AtomSegNet,4,60.0,32.0,4.0,1.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
27.91592788696289,0.8705440163612366,0.8214687705039978,0.5,0.6224593312018546,0.90515724970664,bf16,0.9047760464795044,56.0,0.9553386680262999,0.06882791562540286,0.8865107515396182,60.79564982011885,25.06240265862158,6.47184747705213e-06,201.4737629890442,12.57344102859497,no_n2v,AtomSegNet,5,60.0,32.0,4.0,1.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
13.039314270019531,0.4907909035682678,0.7913848757743835,0.25,0.5621765008857981,0.8862278054643151,bf16,0.9041637201533403,17.0,1.8461282088896027,0.28757242808600986,1.5585557813431892,27.06123663508987,24.686704699682622,2.8588183773701766e-05,465.34574699401855,19.21639585494995,no_n2v,UNetPP,1,25.0,16.0,4.0,2.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
27.225976943969727,0.8555046319961548,0.809073805809021,0.5,0.6224593312018546,0.8970868310831361,bf16,0.8936521322864805,60.0,1.4801955301117433,0.07733651221805048,1.4028590178755334,26.838392269842178,25.085668904156645,2.9999999999999997e-06,469.563481092453,19.213537216186523,no_n2v,UNetPP,2,60.0,16.0,4.0,2.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\atomsegnet_unetpp_no_n2v_results.json,,,,
28.588136672973633,0.9117234349250793,0.8141722083091736,0.0,0.5,0.89811040546284,bf16,0.9120128262376659,60.0,0.8740479081537066,0.05311327798857579,0.8209346299965069,31.400222204689666,24.686704699682622,2.9999999999999997e-06,415.10397362709045,17.641863346099854,no_n2v,HRNet,1,60.0,8.0,4.0,4.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\hrnet_no_n2v_results.json,,,,
27.986656188964844,0.867874026298523,0.810596227645874,0.5,0.6224593312018546,0.8977570257587241,bf16,0.8960437934111257,55.0,1.0490883073268826,0.06888187537358913,0.9802064317431622,31.64328135213802,25.133048317912717,6.47184747705213e-06,411.80016469955444,17.64186382293701,no_n2v,HRNet,2,60.0,8.0,4.0,4.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\hrnet_no_n2v_results.json,,,,
27.97556495666504,0.8696638345718384,0.8109087347984314,0.5,0.6224593312018546,0.8977349905214663,bf16,0.8964605174045381,58.0,1.0352364531964644,0.07013201250754358,0.965104440543645,31.54298651317583,24.152100154641484,3.8705133625776e-06,412.8534908294678,17.64186382293701,no_n2v,HRNet,3,60.0,8.0,4.0,4.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\hrnet_no_n2v_results.json,,,,
