condition,arch,folds,coverage,p_mean,undecided,corr,fft_kept
no_n2v,AtomSegNet,5,0.48363494873046875,0.46647387742996216,0.30859375,0.4554423521119743,0.8357142857142857
no_n2v,HRNet,4,0.501190185546875,0.4932779222726822,0.381317138671875,0.48594815930164176,0.8928571428571429
no_n2v,UNetPP,3,0.46782684326171875,0.45858873426914215,0.39485931396484375,0.5356702659243111,0.8333333333333334
with_n2v,AtomSegNet,5,0.5616302490234375,0.541274219751358,0.39531707763671875,0.5320361419721975,0.8357142857142857
with_n2v,HRNet,2,0.579742431640625,0.5407247245311737,0.36898040771484375,0.46482974950661116,0.875
with_n2v,UNetPP,5,0.5133209228515625,0.5021241307258606,0.377166748046875,0.4778677234909203,0.8285714285714286
