condition,arch,fold,image,frac_pos,p_mean,p_frac_undecided,corr,polarity,fft_peak_raw_k,fft_peak_raw_strength,fft_peak_den_k,fft_peak_den_strength,fft_peak_kept
no_n2v,AtomSegNet,1,Diamante-0001.tif,0.2712554931640625,0.2861669063568115,0.2636871337890625,0.28351659590710754,bright,4,1.0636267863507558,4,2.25616442884515,True
no_n2v,AtomSegNet,1,Diamante-0004.tif,0.494476318359375,0.4741208851337433,0.3559112548828125,0.41516148888750465,bright,22,1.0997777962379605,14,1.8288895218107888,False
no_n2v,AtomSegNet,1,Diamante-0005.tif,0.465057373046875,0.4563857913017273,0.25531005859375,0.5416397942980922,bright,4,2.008806506632607,4,1.9806338764685927,True
no_n2v,AtomSegNet,1,Diamante-0006.tif,0.5099029541015625,0.49023330211639404,0.2989959716796875,0.44475366593957943,bright,10,1.7341791093841026,10,1.9912068352670262,True
no_n2v,AtomSegNet,1,Diamante-0007.tif,0.4574737548828125,0.43111366033554077,0.3162384033203125,0.3884028511330638,bright,11,1.6892554376480646,11,2.2261577156918486,True
no_n2v,AtomSegNet,1,Diamante-0008.tif,0.58160400390625,0.5749498009681702,0.2657928466796875,0.3939781391660732,bright,4,2.9196661099296617,4,3.7466396808734115,True
no_n2v,AtomSegNet,1,Diamante-0009.tif,0.5488128662109375,0.5317776203155518,0.2589569091796875,0.5887905740789734,bright,5,4.602917836345904,5,4.874323553818822,True
no_n2v,AtomSegNet,1,Diamante-0010.tif,0.52618408203125,0.5318236947059631,0.228271484375,0.5061233790453054,bright,6,3.6188744396964765,5,4.755526262974599,True
no_n2v,AtomSegNet,1,Diamante-0011.tif,0.5853424072265625,0.5421199798583984,0.286865234375,0.4047605397451917,bright,4,2.2089435076127715,4,2.196679759265757,True
no_n2v,AtomSegNet,1,Diamante-0012.tif,0.4747314453125,0.488277405500412,0.26312255859375,0.41088785732242405,bright,4,4.004886455654313,6,4.231993941178629,True
no_n2v,AtomSegNet,1,Diamante-0013.tif,0.489532470703125,0.4863589107990265,0.222320556640625,0.6462906446638662,bright,5,1.7782758408144923,5,2.2480122011920556,True
no_n2v,AtomSegNet,1,Diamante-0014.tif,0.48504638671875,0.46106311678886414,0.2292938232421875,0.7310994893741036,bright,4,2.7391087067256894,4,2.7885889012634903,True
no_n2v,AtomSegNet,1,Diamante-0015.tif,0.62078857421875,0.600247859954834,0.3292236328125,0.3167046997704571,bright,4,3.241301324307807,4,3.76651045364859,True
no_n2v,AtomSegNet,1,Diamante-0016.tif,0.6622772216796875,0.6205617189407349,0.3025970458984375,0.42139610451303033,bright,4,3.99144447816608,4,4.420972895930505,True
no_n2v,AtomSegNet,1,Diamante-0017.tif,0.60321044921875,0.5774195790290833,0.27142333984375,0.38895537403516073,bright,4,2.0251612215754444,4,1.7388433855509697,True
no_n2v,AtomSegNet,1,Diamante-0018.tif,0.445098876953125,0.4432278871536255,0.3278961181640625,0.3094305846287044,bright,10,1.7295321276475093,7,1.9907761134994353,False
no_n2v,AtomSegNet,1,Diamante-0019.tif,0.49761962890625,0.47910046577453613,0.349456787109375,0.34492215250884045,bright,10,1.5113006354175216,10,1.7401891054903922,True
no_n2v,AtomSegNet,1,Diamante-0020.tif,0.5339813232421875,0.49761664867401123,0.365936279296875,0.2714269876172396,bright,5,3.1304747497018677,5,6.60665854001347,True
no_n2v,AtomSegNet,1,Diamante-0021.tif,0.5684356689453125,0.5027724504470825,0.4986114501953125,0.20496655177114476,bright,5,1.9617316779774752,5,2.227539286232555,True
no_n2v,AtomSegNet,1,Diamante-0022.tif,0.534088134765625,0.5194159746170044,0.27294921875,0.5580218022051583,bright,6,3.016556123992835,6,3.950219806014519,True
no_n2v,AtomSegNet,1,Diamante-0023.tif,0.4652862548828125,0.47122132778167725,0.2484283447265625,0.4754287271352916,bright,4,2.8146013470792237,5,3.6173793440127437,True
no_n2v,AtomSegNet,1,Diamante-0024.tif,0.50921630859375,0.49252447485923767,0.3417510986328125,0.45655863307805267,bright,4,1.7054447598806237,4,1.9457645811760493,True
no_n2v,AtomSegNet,1,Diamante-0025.tif,0.3960418701171875,0.38900837302207947,0.40185546875,0.22879596316642445,bright,20,1.2920749671087166,14,2.836002034942419,False
no_n2v,AtomSegNet,1,Diamante-0026.tif,0.38079833984375,0.3728371262550354,0.3204193115234375,0.479965685443276,bright,6,2.494206284744049,6,2.5746090912973276,True
no_n2v,AtomSegNet,1,Diamante-0027.tif,0.3629150390625,0.37574344873428345,0.2783660888671875,0.2898862712630834,bright,20,1.1968350048236347,15,2.9137868325803833,False
no_n2v,AtomSegNet,1,Diamante-0028.tif,0.33551025390625,0.3402809202671051,0.2036895751953125,0.558471205728427,bright,4,1.834623862914087,4,1.6902845812735672,True
no_n2v,AtomSegNet,1,Diamante-0029.tif,0.6420440673828125,0.6018515229225159,0.2779541015625,0.47220781162292047,bright,5,1.4941464491865726,5,1.4033378306046191,True
no_n2v,AtomSegNet,1,Diamante-0030.tif,0.5146026611328125,0.5146589279174805,0.2139739990234375,0.38724630571588553,bright,4,1.6927351084550966,4,1.5902083604150854,True
no_n2v,AtomSegNet,2,Diamante-0001.tif,0.267425537109375,0.3035489320755005,0.296051025390625,0.30935024702936903,bright,4,1.0636267863507558,4,1.7854474696877372,True
