condition,arch,n_folds,folds,n_images,n_detections,gt_precision,gt_precision_sd,gt_recall,gt_recall_sd,gt_f1,gt_f1_sd,gt_rmse_px,gt_rmse_px_sd,refine_success_rate,refine_success_rate_sd,spacing_px_median,spacing_px_median_sd,column_fwhm_px_mean,column_fwhm_px_mean_sd,psnr_denoised_mean,psnr_denoised_mean_sd,psnr_gaussian_mean,psnr_gaussian_mean_sd,psnr_noisy_mean,psnr_noisy_mean_sd
no_n2v,AtomSegNet,5,"1,2,3,4,5",500,35855,0.8968499253076466,0.014572674102504977,0.963269954264749,0.004911613041443936,0.9288466312750895,0.009784028931658046,1.1274542376347827,0.03417797231031648,0.05768758146190878,0.010942958228381318,16.99674214954207,0.7990277701526348,5.262432075538806,0.3810798982545923,27.403001510407204,0.24258147683530365,22.359403654890464,0.7087186605746424,15.183629899718557,0.20106948362141264
no_n2v,HRNet,4,"1,2,3,4",400,29019,0.8853881774406722,0.026972840207378446,0.9591187191205813,0.007793191443029385,0.9206827019033389,0.017739804270095368,1.1174706593871189,0.032892980589527984,0.03481008070937192,0.009965523970615616,17.022001804303212,0.8176833733568145,5.19907105794538,0.030477399156972253,27.648109038193525,0.41342454819591,22.34598063942027,0.8176235915751202,15.180351582473412,0.23202068995093944
no_n2v,UNetPP,3,"1,2,3",300,21475,0.8878095057899293,0.004381227299612377,0.9513727144642233,0.004291292948976136,0.9184920942012624,0.0042482027088200655,1.2126474162873055,0.006842469098290984,0.06675487925736724,0.003167409332469509,17.399250622213682,0.7541319878344381,5.171668679572366,0.3627817209723174,21.718948781378113,7.513221421706332,22.320608241008284,0.999449825975891,15.087417690569879,0.17008865706430934
with_n2v,AtomSegNet,5,"1,2,3,4,5",500,36129,0.8830210625613724,0.015030017352080463,0.9556313422546605,0.0058040653735735,0.9178633383698113,0.01037782329876522,1.24476705981527,0.033225546106766965,0.06664160345435159,0.021340493607703345,16.83862161889364,0.758964735451933,5.621512761188283,0.19203860193073966,25.30902585830064,0.15825690630623662,22.359403654890464,0.7087186605746424,15.183629899718557,0.20106948362141264
with_n2v,HRNet,2,"1,2",200,14425,0.8642650026719374,0.01742487532321546,0.9386915781863544,0.008289256535305078,0.8999276954307625,0.013256301847351177,1.2515016920205642,0.05833985116389326,0.07231403775054052,0.03186249478209652,17.251325079583424,0.3011201740029468,5.516758461672975,0.14414242470542446,19.79257529493647,1.8449384850666977,22.790396194266506,0.8207286903277847,15.064583966803555,0.23394877404607184
with_n2v,UNetPP,5,"1,2,3,4,5",500,35657,0.8920712799355723,0.01788690967514542,0.9527807511254445,0.008394337876981683,0.921391295976011,0.012857561084066915,1.2181296087989533,0.06373299143916561,0.055608093760518264,0.011822715153276615,16.98655548449697,0.7557552283194986,5.395976256395777,0.21277468290284232,15.997586597278143,6.23892338685381,22.359403654890464,0.7087186605746424,15.183629899718557,0.20106948362141264
